"question","answer","context","category"
"Which actress portrayed Megyn Kelly in the film Bombshell?","Charlize Theron","Alongside the directing and writing announcements, it was reported that Charlize Theron had entered negotiations to portray Kelly in the film.","Easy"
"On which real-life news network’s sexual harassment allegations is Bombshell based?","Fox News","The film stars Charlize Theron, Nicole Kidman, and Margot Robbie, and is based on the accounts of the women at Fox News who set out to expose CEO Roger Ailes for sexual harassment.","Moderate"
"Which major award did Bombshell win for its achievements in makeup and hairstyling?","Academy Award for Best Makeup and Hairstyling","It garnered praise for its acting as well as its choices of makeup and hair, which won the Academy Award for Best Makeup and Hairstyling.","Difficult"
"What specific inaccuracy did Megyn Kelly highlight about Bombshell’s portrayal of her 2016 Republican debate question to Donald Trump?","She stated the film incorrectly implied that Roger Ailes approved of her tough debate question, whereas in reality Ailes was angry and did not support it.","At one point [he] actually said to me, ‘No more female empowerment stuff!’ Kelly specifically denied that she told Murdoch the question she was going to ask Donald Trump in advance of the debate or that Ailes liked the question.","Complex"
"What was the exact Worldwide Box Office for Bombshell?",$61404394,"Information not in provided text","Missing question"
"Which Breaking Bad alumnus wrote and directed 'El Camino: A Breaking Bad Movie'?","Vince Gilligan","'...Vince Gilligan (director/screenplay)... He also wrote, directed, and produced the Breaking Bad sequel film El Camino (2019).'", "Easy"
"Which main actor reprised his role as Jesse Pinkman in 'El Camino: A Breaking Bad Movie'?","Aaron Paul","'...El Camino: A Breaking Bad Movie... Vince Gilligan (director/screenplay); Aaron Paul...'", "Moderate"
"Who portrayed the character Todd Alquist in 'El Camino: A Breaking Bad Movie'?","Jesse Plemons","Todd Alquist in season 5 of the AMC crime drama series Breaking Bad and its sequel film El Camino: A Breaking Bad Movie (2019).", "Difficult"
"Which actor, also known for portraying 'Ed the Disappearer,' passed away on the film's release day, October 11, 2019?","Robert Forster","'He also had prominent roles in television series such as the Breaking Bad episode \"Granite State\" as Ed \"The Disappearer\"... He died on the day El Camino was released.'","Complex"
"What was the worldwide box office gross for 'El Camino: A Breaking Bad Movie'?","$42M","Information not in provided text","Missing question"
"Who directed the 2019 American horror film 'Prey'?","Franck Khalfoun","'Prey is a 2019 American horror film directed by Franck Khalfoun and written by David Coggeshall and Khalfoun.'","easy"
"Which actor plays Toby, the main character in 'Prey'?","Logan Miller","'It stars Logan Miller and Kristine Froseth.'","medium"
"Where was 'Prey' primarily filmed?","Langkawi, Malaysia","'Principal photography on the film began in June 2016 in Malaysia, on the island of Langkawi.'","hard"
"What is the twist about Madeline's true nature in 'Prey'?","She was possessed by a malevolent spirit and became the monster that killed everyone on the island.","'Madeline is actually the monster who killed everyone, including her own father and Kay, after being possessed by a dark spirit.'","complex"
"How much did 'Prey' earn at the box office?","Not provided in the text","'No financial or box office details are mentioned in the provided text.'","Missing Question"
