question,answer,context,category
Who directed the film '6 Underground'?,Michael Bay directed the film.,6 Underground is a 2019 American action film directed by Michael Bay.,easy
Which actor played the role of 'One' in '6 Underground'?,Ryan Reynolds played the role of 'One'.,Ryan Reynolds stars as 'One' in the film '6 Underground'.,easy
What was the budget of the film '6 Underground'?,The budget was $150 million.,"The film's production cost $150 million, making it one of the most expensive Netflix originals.",easy
"In '6 Underground', who is recruited as 'Seven'?","Blaine, a former sniper, is recruited as 'Seven'.","Blaine, a former sniper from Delta Force suffering from survivor guilt, is recruited as 'Seven'.",moderate
What is the primary mission of the team in '6 Underground'?,The team stages a coup to overthrow a dictator.,The team forms a vigilante squad to overthrow a ruthless dictator in the fictional country of Turgistan.,difficult
"Who directed the film 47 Meters Down: Uncaged?", "Johannes Roberts", "47 Meters Down: Uncaged is a 2019 survival horror film directed by Johannes Roberts", "easy"
"Which actress starred as Sasha in 47 Meters Down: Uncaged?", "Corinne Foxx", "Corinne Foxx starred as Sasha in the horror sequel 47 Meters Down: Uncaged", "easy"
"Which movie was a sequel to 47 Meters Down?", "47 Meters Down: Uncaged", "47 Meters Down: Uncaged is a sequel to 47 Meters Down (2017)", "easy"
"Which shark-related event happens in 47 Meters Down: Uncaged?", "A group of girls is trapped by sharks in a submerged Mayan city", "The plot follows a group of teenage girls who scuba dive to a sunken Mayan city, only to be trapped by a group of sharks", "moderate"
"What was the movie's worldwide gross revenue?", "$47.6 million", "47 Meters Down: Uncaged grossed $47.6 million worldwide", "difficult"
"What was the role of Nia Long in the film?", "I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the film '1917'?", "Sam Mendes directed the film '1917'.", "Sam Mendes(director/screenplay); Krysty Wilson-Cairns (screenplay); George MacKay, Dean-Charles Chapman, Mark Strong, Andrew Scott, Richard Madden, Claire Duburcq, Colin Firth, Benedict Cumberbatch", "easy"
"Which film studio produced '1917'?", "The film '1917' was produced by Universal Pictures and DreamWorks Pictures.", "Universal Pictures/DreamWorks Pictures", "easy"
"Which actor played the role of Lance Corporal William Schofield in '1917'?", "George MacKay played the role of Lance Corporal William Schofield in '1917'.", "George MacKay (actor) played the lead role of lance corporal William Schofield, a young British World War I soldier in 1917.", "easy"
"What year was the film '1917' released?", "The film '1917' was released in 2019.", "1917 was released by Universal Pictures on 25 December 2019 in the US and on 10 January 2020 in the UK.", "easy"
"What significant event in history is depicted in '1917'?", "The film '1917' depicts a critical point during World War I.", "The film chronicles the story of two young British soldiers in the spring of 1917 at a critical point during World War I.", "moderate"
"How many Academy Award nominations did '1917' receive?", "The film '1917' received ten Academy Award nominations, including Best Picture.", "The film was nominated for Best Picture in the 92nd Academy Awards, along with nominations in nine other categories.", "difficult"
"What is the main theme of the movie '1917'?", "I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the film 'A Beautiful Day in the Neighborhood'?", "Marielle Heller directed the film 'A Beautiful Day in the Neighborhood'.", "A Beautiful Day in the Neighborhood directed by Marielle Heller.", "easy"
"Which actor portrayed Fred Rogers in 'A Beautiful Day in the Neighborhood'?", "Tom Hanks portrayed Fred Rogers in 'A Beautiful Day in the Neighborhood'.", "Tom Hanks starred as Fred Rogers in the 2019 biographical drama.", "easy"
"Where was 'A Beautiful Day in the Neighborhood' filmed?", "The film was filmed in Pittsburgh, with several sets converted into New York City.", "The film was shot in Pittsburgh, with sets converted to resemble New York City.", "easy"
"What is the main plot of 'A Beautiful Day in the Neighborhood'?", "The film follows journalist Lloyd Vogel as he interviews Fred Rogers, learning about forgiveness and reconciliation.", "Lloyd Vogel is assigned to write an article about Fred Rogers, and through their interactions, he learns about the importance of forgiveness and personal growth.", "moderate"
"What major film festival premiered 'A Beautiful Day in the Neighborhood'?", "The film premiered at the Toronto International Film Festival on September 7, 2019.", "The film had its premiere at the Toronto International Film Festival on September 7, 2019.", "difficult"
"How did the film 'A Beautiful Day in the Neighborhood' perform at the box office?", "I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the film 'A Dog's Journey'?", "Gail Mancuso directed the film 'A Dog's Journey'.", "Gail Mancuso (director) for the 2019 film 'A Dog's Journey'.", "easy"
"Which actor voiced the character Bailey in 'A Dog's Journey'?", "Josh Gad voiced the character Bailey in 'A Dog's Journey'.", "Josh Gad voiced Bailey in the 2019 film, a role he previously performed in 'A Dog's Purpose'.", "easy"
"What is the main story of 'A Dog's Journey'?", "The film follows the reincarnations of a dog named Bailey, who ensures that his owner’s granddaughter, CJ, lives a fulfilling life.", "The plot of 'A Dog's Journey' revolves around the reincarnated dog Bailey ensuring the well-being of his owner's granddaughter, CJ.", "easy"
"In which year was 'A Dog's Journey' released?", "The film 'A Dog's Journey' was released in 2019.", "A Dog's Journey was released on May 17, 2019.", "easy"
"What is the name of the character who is a dog in the movie?", "The dog in the movie is named Bailey, and he is reincarnated several times.", "The dog Bailey reincarnates as various dogs, including a St. Bernard, a Beagle, and an English Mastiff.", "moderate"
"What were the box office earnings of 'A Dog's Journey'?", "The film grossed $22.7 million in the United States and Canada, and $52.8 million in other territories.", "A Dog's Journey grossed a total of $75.6 million worldwide.", "difficult"
"What is the theme of 'A Dog's Journey'?", "I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the film 'After'?", "Jenny Gage directed the film 'After'.", "Jenny Gage (director/screenplay) for 'After' (2019 film).", "easy"
"Which actor portrayed Hardin Scott in 'After'?", "Hero Fiennes Tiffin portrayed Hardin Scott in 'After'.", "Hero Fiennes Tiffin played Hardin Scott, the main character in 'After'.", "easy"
"What year was the film 'After' released?", "The film 'After' was released in 2019.", "After premiered on April 8, 2019, at The Grove in Los Angeles and released in the US on April 12, 2019.", "easy"
"Which company distributed the film 'After' in North America?", "Aviron Pictures distributed 'After' in North America.", "The film was distributed in North America by Aviron Pictures.", "easy"
