query,answer,response,nli_result,confidence
,Michael Bay directed the film.,,entailment,"[0.027579905465245247, 0.3936944007873535, 0.5787256956100464]"
,Ryan Reynolds played the role of 'One'.,,neutral,"[0.05232444405555725, 0.5281237363815308, 0.419551819562912]"
,The budget was $150 million.,,neutral,"[0.031094463542103767, 0.703971803188324, 0.2649337649345398]"
,"Blaine, a former sniper, is recruited as 'Seven'.",,neutral,"[0.06076057627797127, 0.6190218925476074, 0.3202176094055176]"
,The team stages a coup to overthrow a dictator.,,neutral,"[0.031026611104607582, 0.5119305849075317, 0.45704278349876404]"
," ""Johannes Roberts""",,contradiction,"[0.41733744740486145, 0.40472185611724854, 0.17794068157672882]"
," ""Corinne Foxx""",,contradiction,"[0.3620857000350952, 0.34384745359420776, 0.2940668761730194]"
," ""47 Meters Down: Uncaged""",,neutral,"[0.18868684768676758, 0.5112276077270508, 0.30008554458618164]"
," ""$47.6 million""",,neutral,"[0.13111770153045654, 0.6372168660163879, 0.23166538774967194]"
," ""The film '1917' was produced by Universal Pictures and DreamWorks Pictures.""",,neutral,"[0.038706619292497635, 0.5855864882469177, 0.37570688128471375]"
," ""The film '1917' was released in 2019.""",,neutral,"[0.33328375220298767, 0.3890904188156128, 0.2776258587837219]"
," ""The film '1917' depicts a critical point during World War I.""",,entailment,"[0.057744164019823074, 0.43580517172813416, 0.5064506530761719]"
," ""Marielle Heller directed the film 'A Beautiful Day in the Neighborhood'.""",,neutral,"[0.14502711594104767, 0.4902198612689972, 0.36475300788879395]"
," ""Tom Hanks portrayed Fred Rogers in 'A Beautiful Day in the Neighborhood'.""",,neutral,"[0.13949312269687653, 0.4382670223712921, 0.42223986983299255]"
," ""Gail Mancuso directed the film 'A Dog's Journey'.""",,neutral,"[0.18829429149627686, 0.41637036204338074, 0.3953353762626648]"
," ""Jenny Gage directed the film 'After'.""",,neutral,"[0.12621060013771057, 0.4932582378387451, 0.3805311918258667]"
," ""Aviron Pictures distributed 'After' in North America.""",,neutral,"[0.06255707144737244, 0.5563238263130188, 0.3811190128326416]"
," ""The movie 'After' is based on the 2014 novel of the same name by Anna Todd.""",,neutral,"[0.08146411180496216, 0.6357277631759644, 0.2828081548213959]"
," ""The film 'After' grossed $69.7 million worldwide.""",,neutral,"[0.040453534573316574, 0.7314895391464233, 0.22805695235729218]"
," ""Bart Freundlich directed the film 'After the Wedding'.""",,neutral,"[0.16463713347911835, 0.45815104246139526, 0.37721189856529236]"
," ""The film 'After the Wedding' is a remake of the 2006 Danish-Swedish film of the same name.""",,neutral,"[0.13682493567466736, 0.5939738154411316, 0.26920121908187866]"
," ""Terrence Malick directed the film 'A Hidden Life'.""",,neutral,"[0.15438280999660492, 0.42602670192718506, 0.41959047317504883]"
," ""Guy Ritchie directed the film 'Aladdin'.""",,entailment,"[0.17929522693157196, 0.3860302269458771, 0.43467453122138977]"
